Word,Mean,Type,Gender,Vachana,Viphat,ID,Category,Read,Note
"อุปธาเรติ","ใคร่ครวญ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",735,,"อุ-ปะ-ธา-เร-ติ",
"อาลคฺเคติ, ลคฺเคติ","คล้องไว้","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",736,,"อา-ลัก-เค-ติ, ลัก-เค-ติ",
"ลคฺคติ","คล้องอยู่","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",737,,"ลัก-คะ-ติ",
"วิชายติ","คลอด (ลูก)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",738,,"วิ-ชา-ยะ-ติ",
"ปสาเรติ","คลี่ออก (ผ้า)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",739,,"ปะ-สา-เร-ติ",
"สปฺปติ, ปริสปฺปติ","คลานไป","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",740,,"สับ-ปะ-ติ, ปะ-ริ-สับ-ปะ-ติ",
"วิรชฺชติ","คลายกำหนัด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",741,,"วิ-รัด-ชะ-ติ",
"อมจฺโจ","อำมาตย์","นามนาม","ปุงลิงค์","ไม่มี","ไม่มี",742,"มนุษยชน","อะ-มัด-โจ",
"มหามตฺโต","มหาอำมาตย์","นามนาม","ปุงลิงค์","ไม่มี","ไม่มี",743,"มนุษยชน","มะ-หา-มัด-โต",
"ปริกฺขิปติ","คลุม","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",745,"กิริยาอาขยาต","ปะ-ริก-ขิบ-ปะ-ติ",
"จวติ","เคลื่อน (ตาย)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",746,"กิริยาอาขยาต","จะ-วะ-ติ",
"คณฺหาติ","คว้าเอา","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",747,"กิริยาอาขยาต","คัน-หา-ติ",
"ปริคฺคณฺหาติ","คอยจับ (เอาผิด)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",748,"กิริยาอาขยาต","ปะ-ริก-คัน-หา-ติ",
"ปฏิกฺโกสติ","คัดค้าน","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",749,"กิริยาอาขยาต","ปะ-ติก-โก-สะ-ติ",
"อจฺจินาติ","คัดเลือก","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",750,"กิริยาอาขยาต","อัด-จิ-นา-ติ",
"สุตฺวา","ฟังแล้ว","คำกิริยา","ไม่มี","ไม่มี","ไม่มี",1,"กิริยาอาขยาต","สุด-ตะ-วา","มาจาก สุ ธาตุ ในความฟัง และ ตฺวา ปัจจัย"
"อจฺฉติ","ค้างอยู่, นั่งพักอยู่","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",751,"กิริยาอาขยาต","อัด-ฉะ-ติ",
"พนฺธติ","คาด (-ห้าง)","คำกิริยาอาขยาต",,,,752,"กิริยาอาขยาต","พัน-ทะ-ติ",
"นิปฺปีเฬติ","คาดคั้น","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",753,"กิริยาอาขยาต","นิบ-ปี-เร-ติ",
"มุเขน คณฺหาติ","คาบ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",754,"กิริยาอาขยาต","มุ-เข-นะ-คัน-หา-ติ",
"วมติ","คายออก","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",755,"กิริยาอาขยาต","วะ-มะ-ติ",
"จินฺเตติ,จินฺตยติ,เจตยติ","คิด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",756,"กิริยาอาขยาต","จิน-เต-ติ,จิน-ตะ-ยะ-ติ,เจ-ตะ-ยะ-ติ",
"วิจินฺเตติ","คิดผิด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",757,"กิริยาอาขยาต","วิ-จิน-เต-ติ",
"ชนฺนุุเกหิ ปติฏฺฐหติ","คุกเข่าลง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",758,"กิริยาอาขยาต","ชัน-นุ-เก-หิ ปะ-ติด-ทะ-หะ-ติ",
"ตชฺเชติ","คุกคาม,ขู่เข็ญ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",759,"กิริยาอาขยาต","ตัด-เช-ติ",
"วิสฺสสติ,วิสฺสาเสติ","คุ้นเคย","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",760,"กิริยาอาขยาต","วิด-สะ-สะ-ติ,วิด-สา-เส-ติ",
"โคเปติ","คุ้มครอง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",761,"กิริยาอาขยาต","โค-เป-ติ",
